r,theta,n,s,psi,eigenvalue
0.35,0.5129130863003744,0.0,0.0,0.2173562861980702,1.5318096764997318
0.35,0.6411413578754679,0.0,0.0,0.2280852125630056,1.5318096764997318
0.35,0.7693696294505615,0.0,0.0,0.2202917363489768,1.5318096764997318
0.35,0.8975979010256552,0.0,0.0,0.23172291262066202,1.5318096764997318
0.35,1.0258261726007487,0.0,0.0,0.23835146088510395,1.5318096764997318
0.35,1.1540544441758422,0.0,0.0,0.21134780091118935,1.5318096764997318
0.35,1.2822827157509358,0.0,0.0,0.22593079994171358,1.5318096764997318
0.35,1.4105109873260295,0.0,0.0,0.22814917540171956,1.5318096764997318
0.35,1.538739258901123,0.0,0.0,0.22601190645205796,1.5318096764997318
0.35,1.6669675304762166,0.0,0.0,0.22400644405789993,1.5318096764997318
0.35,1.7951958020513104,0.0,0.0,0.21772253029438576,1.5318096764997318
0.35,1.9234240736264039,0.0,0.0,0.2209302708183537,1.5318096764997318
0.35,2.0516523452014974,0.0,0.0,0.22983661969882502,1.5318096764997318
0.35,2.179880616776591,0.0,0.0,0.2354799750051616,1.5318096764997318
0.35,2.3081088883516845,0.0,0.0,0.22694861431440025,1.5318096764997318
0.35,2.436337159926778,0.0,0.0,0.23016636698626736,1.5318096764997318
0.35,2.5645654315018716,0.0,0.0,0.2255768337453693,1.5318096764997318
0.35,2.6927937030769655,0.0,0.0,0.21251868169665875,1.5318096764997318
0.35,2.821021974652059,0.0,0.0,0.2217753990088715,1.5318096764997318
0.35,2.9492502462271526,0.0,0.0,0.22115142512105915,1.5318096764997318
0.35,3.077478517802246,0.0,0.0,0.2307323705743896,1.5318096764997318
0.35,3.2057067893773397,0.0,0.0,0.23123591120663345,1.5318096764997318
0.35,3.333935060952433,0.0,0.0,0.2094124012576628,1.5318096764997318
0.35,3.4621633325275267,0.0,0.0,0.21940279483608197,1.5318096764997318
0.35,3.5903916041026207,0.0,0.0,0.22049192115745914,1.5318096764997318
0.35,3.7186198756777142,0.0,0.0,0.22593547346530446,1.5318096764997318
0.35,3.8468481472528078,0.0,0.0,0.2281861007090011,1.5318096764997318
0.35,3.9750764188279013,0.0,0.0,0.22625702771262227,1.5318096764997318
0.35,4.103304690402995,0.0,0.0,0.22914363263792545,1.5318096764997318
0.35,4.231532961978089,0.0,0.0,0.22559262645381045,1.5318096764997318
0.35,4.359761233553182,0.0,0.0,0.24029176095792157,1.5318096764997318
0.35,4.487989505128276,0.0,0.0,0.22345952911948125,1.5318096764997318
0.35,4.616217776703369,0.0,0.0,0.21694545806359816,1.5318096764997318
0.35,4.744446048278463,0.0,0.0,0.2249269290780808,1.5318096764997318
0.35,4.872674319853556,0.0,0.0,0.21505515414354845,1.5318096764997318
0.35,5.00090259142865,0.0,0.0,0.22986939620273814,1.5318096764997318
0.35,5.129130863003743,0.0,0.0,0.22457394432809666,1.5318096764997318
0.35,5.257359134578837,0.0,0.0,0.21992505049758745,1.5318096764997318
